Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
22P4pdfcTcVM,Kerdi-Kereck-F Pre-Formed 90° Waterproofing Inside Corners (2-Pack),"Kerdi-Kereck-F are preformed, seamless corners for waterproofing the corners of Kerdi and Ditra assemblies to prevent leaks. The 4 mil thickness helps minimize build-up in the corners. The KERECK/FI2 is a package of 2 inside corners.",,,,18.2,,26,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Kereck-F-Pre-Formed-90-Waterproofing-Inside-Corners-2-Pack-KERECK-FI2/202608396,,,,,,,1.2,,,,
22P4pdfezUSb,Kerdi-Kereck-F Pre-Formed 90° Waterproofing Outside Corners (2-Pack),"Kerdi-Kereck-F are preformed, seamless corners for waterproofing the corners of Kerdi and Ditra assemblies to prevent leaks. The 4 mil thickness helps minimize build-up in the corners. The KERECK/FA2 is a package of 2 outside corners.",,,,18.2,,26,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Kereck-F-Pre-Formed-90-Waterproofing-Outside-Corners-2-Pack-KERECK-FA2/202608394,,,,,,,1.2,,,,
22P4pdfhYRjc,Kerdi-Seal-MV 4-1/2 in. Mixing Valve Seal with Rubber Gasket,Kerdi-Seal-MV is a prefabricated waterproofing seal with over-molded rubber gasket. It is designed to protect moisture sensitive backing panels at the mixing valve in Kerdi Shower installations. The KMSMV235/114 has a 4-1/2 in. mixing valve opening.,,,,10.34,,14.771428571428572,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Seal-MV-4-1-2-in-Mixing-Valve-Seal-with-Rubber-Gasket-KMSMV235-114/202608448,,,,,,,1.2,,,,
22P4pdfk53ZA,Kerdi-Seal-PS 6-3/4 in. x 6-3/4 in. x 4 mil Pipe Seal Underlayment with 3/4 in. Rubber Gasket,Kerdi-Seal-PS is a prefabricated waterproofing seal with over-molded rubber gasket. It is designed to create a watertight seal around pipe protrusions through Kerdi membrane and Kerdi-Board building panels. The seals are made of Kerdi and the 4-mil thickness helps minimize build-up.,,,,,,,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Seal-PS-6-3-4-in-x-6-3-4-in-x-4-mil-Pipe-Seal-Underlayment-with-3-4-in-Rubber-Gasket-KMS172-20/320993015,,,,,,,1.2,,,,
22P4pdf5wrtY,Kerdi-Shower 38 in. x 60 in. Off-Center Shower Kit with PVC Flange,"The Kerdi-Shower-Kit without the grate is a kit containing the components to create a watertight shower assembly. The prefabricated sloped shower tray with integrated Kerdi waterproofing eliminates the need for a mortar bed. Kit includes a shower tray, Kerdi-Board-SC shower curb, Kerdi waterproofing membrane, Kerdi-Band waterproofing strip, Kerdi-Kereck corners, Kerdi-Seal pipe seal and mixing valve seal and Kerdi-Drain flange. The Kerdi-Shower-Kit without the grate is designed for use with the Kerdi-Drain grate which is sold separate.",,,,634.23,,906.0428571428572,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-38-in-x-60-in-Off-Center-Shower-Kit-with-PVC-Flange-KSK9651525SPVC/308315439,,,,,,,1.2,,,,
22P4pdf8S9Ab,Kerdi-Shower 38 in. x 60 in. Off-Center Shower Tray,Kerdi-Shower-TS is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-TS is designed to integrate with the Schluter-Kerdi-Drain.,,,,144,,205.71428571428572,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-38-in-x-60-in-Off-Center-Shower-Tray-KST965-1525S/308315437,,,,,,,1.2,,,,
22P4pdfB2SZk,Kerdi-Shower 38 in. x 60 in. Shower Kit with PVC Flange,"The Kerdi-Shower-Kit without the grate is a kit containing the components to create a watertight shower assembly. The prefabricated sloped shower tray with integrated Kerdi waterproofing eliminates the need for a mortar bed. Kit includes a shower tray, Kerdi-Board-SC shower curb, Kerdi waterproofing membrane, Kerdi-Band waterproofing strip, Kerdi-Kereck corners, Kerdi-Seal pipe seal and mixing valve seal and Kerdi-Drain flange. The Kerdi-Shower-Kit without the grate is designed for use with the Kerdi-Drain grate which is sold separate.",,,,634.23,,906.0428571428572,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-38-in-x-60-in-Shower-Kit-with-PVC-Flange-KSK9651525PVC/308315443,,,,,,,1.2,,,,
22P4pdfDWJQp,Kerdi-Shower 38 in. x 60 in. Shower Tray,Kerdi-Shower-T is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T is designed to integrate with the Schluter-Kerdi-Drain.,,,,144,,205.71428571428572,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-38-in-x-60-in-Shower-Tray-KST965-1525/308315440,,,,,,,1.2,,,,
22P4pdfG4CXZ,Kerdi-Shower 48 in. x 48 in. Shower Kit with PVC Flange,"The Kerdi-Shower-Kit without the grate is a kit containing the components to create a watertight shower assembly. The prefabricated sloped shower tray with integrated Kerdi waterproofing eliminates the need for a mortar bed. Kit includes a shower tray, Kerdi-Board-SC shower curb, Kerdi waterproofing membrane, Kerdi-Band waterproofing strip, Kerdi-Kereck corners, Kerdi-Seal pipe seal and mixing valve seal and Kerdi-Drain flange. The Kerdi-Shower-Kit without the grate is designed for use with the Kerdi-Drain grate which is sold separate.",,,,580.07,,828.6714285714287,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-48-in-x-48-in-Shower-Kit-with-PVC-Flange-KSK1220PVC/308315441,,,,,,,1.2,,,,
22P4pdfJeGWZ,Kerdi-Shower 48 in. x 48 in. Shower Tray,Kerdi-Shower-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,,134.43,,192.04285714285717,,1800 Tiling,Materials,false,,false,false,true,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-48-in-x-48-in-Shower-Tray-KST1220BF/308315438,,,,,,,1.2,,,,
