Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
,New Deck Template,Framing; Lumber; Stairs Lumber; Risers,22Np3xcVFW3s,"Material | Decking | Wood Board | Red Cedar 1"" x 6"" x 20' -",,,,Each,44,,88,,2500 Decking,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Joists,,,,,,Each,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Joists,22Np3xcmjrQB,"Material | Framing | KD SPF | 2""x8""x12'",12 Footers,0,"IF({j_buy_length}=""8 ft"",{j_buy_qty},0)",Each,17.37,,34.74,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Joists,22Np3xd4NbZ6,"Material | Framing | KD SPF | 2""x12""x10'",,0,"IF({j_buy_length}=""12 ft"",{j_buy_qty},0)",Each,,,,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Joists,22Np3xd4NbZ6,"Material | Framing | KD SPF | 2""x12""x10'",,0,"IF({j_buy_length}=""16 ft"",{j_buy_qty},0)",Each,,,,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Rim Joists (long),,,,,,Each,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Rim Joists (long),22Np3xcmjrQB,"Material | Framing | KD SPF | 2""x8""x12'",12 Footers,0,"IF(  FLOOR(8/{d_length})>0 AND CEIL(2/FLOOR(8/{d_length})) < MIN( IF(FLOOR(12/{d_length})>0, CEIL(2/FLOOR(12/{d_length})), 999),    IF(FLOOR(16/{d_length})>0, CEIL(2/FLOOR(16/{d_length})), 999)),  CEIL(2/FLOOR(8/{d_length})),  0)",Each,17.37,,34.74,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Rim Joists (long),22Np3xd4NbZ6,"Material | Framing | KD SPF | 2""x12""x10'",,0,"IF(  FLOOR(12/{d_length})>0  AND CEIL(2/FLOOR(12/{d_length})) <= IF(FLOOR(8/{d_length})>0, CEIL(2/FLOOR(8/{d_length})), 999)  AND CEIL(2/FLOOR(12/{d_length})) <  CEIL(2/FLOOR(16/{d_length})),  CEIL(2/FLOOR(12/{d_length})),  0)",Each,,,,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Rim Joists (long),22Np3xd4NbZ6,"Material | Framing | KD SPF | 2""x12""x10'",,0,"IF(  FLOOR(16/{d_length})>0  AND CEIL(2/FLOOR(16/{d_length})) <= MIN(        IF(FLOOR(12/{d_length})>0, CEIL(2/FLOOR(12/{d_length})), 999),        IF(FLOOR(8/{d_length})>0,  CEIL(2/FLOOR(8/{d_length})),  999)),  CEIL(2/FLOOR(16/{d_length})), 0)",Each,,,,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Rim Joists (short),,,,,,Each,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Rim Joists (short),22Np3xcmjrQB,"Material | Framing | KD SPF | 2""x8""x12'",12 Footers,0,"IF(
  FLOOR(8/{d_width})>0
  AND CEIL(4/FLOOR(8/{d_width})) <
      MIN(
        IF(FLOOR(12/{d_width})>0, CEIL(4/FLOOR(12/{d_width})), 999),
        IF(FLOOR(16/{d_width})>0, CEIL(4/FLOOR(16/{d_width})), 999)
      ),
  CEIL(4/FLOOR(8/{d_width})),
  0
)",Each,17.37,,34.74,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Rim Joists (short),22Np3xd4NbZ6,"Material | Framing | KD SPF | 2""x12""x10'",,0,"IF(
  FLOOR(12/{d_width})>0
  AND CEIL(4/FLOOR(12/{d_width})) <= IF(FLOOR(8/{d_width})>0, CEIL(4/FLOOR(8/{d_width})), 999)
  AND CEIL(4/FLOOR(12/{d_width})) <  CEIL(4/FLOOR(16/{d_width})),
  CEIL(4/FLOOR(12/{d_width})),
  0
)",Each,,,,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Rim Joists (short),22Np3xd4NbZ6,"Material | Framing | KD SPF | 2""x12""x10'",,0,"IF(
  FLOOR(16/{d_width})>0
  AND CEIL(4/FLOOR(16/{d_width})) <= MIN(
        IF(FLOOR(12/{d_width})>0, CEIL(4/FLOOR(12/{d_width})), 999),
        IF(FLOOR(8/{d_width})>0,  CEIL(4/FLOOR(8/{d_width})),  999)
  ),
  CEIL(4/FLOOR(16/{d_width})),
  0
)",Each,,,,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Blocking,,,,,,Each,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Blocking,22Np3xcmjrQB,"Material | Framing | KD SPF | 2""x8""x12'",12 Footers,0,"IF(
  CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 8 )
    <  MIN(
          CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 12 ),
          CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 16 )
       ),
  CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 8 ),
  0
)",Each,17.37,,34.74,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,New Deck Template,Framing; Lumber; Blocking,22Np3xcmjrQB,"Material | Framing | KD SPF | 2""x8""x12'",12 Footers,0,"IF(
  CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 12 )
    <  CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 16 )
  AND
  CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 12 )
    <= CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 8 ),
  CEIL( (MAX(0, CEIL({d_width}/4)-1) * {d_length}) / 12 ),
  0
)",Each,17.37,,34.74,,0600 Framing,Materials,true,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
