Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
22P4pdgGMLHZ,Kerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kerdi,Kerdi,,,,,,,,,,,,,,,,,,false,,,true,false,true,true,,,,,,,,,,,,,
,Kerdi,Kerdi; Pans,22P4pdf5wrtY,Kerdi-Shower 38 in. x 60 in. Off-Center Shower Kit with PVC Flange,"The Kerdi-Shower-Kit without the grate is a kit containing the components to create a watertight shower assembly. The prefabricated sloped shower tray with integrated Kerdi waterproofing eliminates the need for a mortar bed. Kit includes a shower tray, Kerdi-Board-SC shower curb, Kerdi waterproofing membrane, Kerdi-Band waterproofing strip, Kerdi-Kereck corners, Kerdi-Seal pipe seal and mixing valve seal and Kerdi-Drain flange. The Kerdi-Shower-Kit without the grate is designed for use with the Kerdi-Drain grate which is sold separate.",,,,634.23,,906.0428571428572,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-38-in-x-60-in-Off-Center-Shower-Kit-with-PVC-Flange-KSK9651525SPVC/308315439,,,,,,,1.2,,,,
,Kerdi,Kerdi; Pans,22P4pdf8S9Ab,Kerdi-Shower 38 in. x 60 in. Off-Center Shower Tray,Kerdi-Shower-TS is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-TS is designed to integrate with the Schluter-Kerdi-Drain.,,,,144,,205.71428571428572,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-38-in-x-60-in-Off-Center-Shower-Tray-KST965-1525S/308315437,,,,,,,1.2,,,,
,Kerdi,Kerdi; Pans,22P4pdfB2SZk,Material | Tile | Kerdi-Shower Kit | 38x60,"The Kerdi-Shower-Kit without the grate is a kit containing the components to create a watertight shower assembly. The prefabricated sloped shower tray with integrated Kerdi waterproofing eliminates the need for a mortar bed. Kit includes a shower tray, Kerdi-Board-SC shower curb, Kerdi waterproofing membrane, Kerdi-Band waterproofing strip, Kerdi-Kereck corners, Kerdi-Seal pipe seal and mixing valve seal and Kerdi-Drain flange. The Kerdi-Shower-Kit without the grate is designed for use with the Kerdi-Drain grate which is sold separate.",,,Each,634.23,,906.04,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-38-in-x-60-in-Shower-Kit-with-PVC-Flange-KSK9651525PVC/308315443,,,,,,,1.2,,,,
,Kerdi,Kerdi; Pans,22P4pdfDWJQp,Material | Tile | Kerdi-Shower Tray | 38x60,Kerdi-Shower-T is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T is designed to integrate with the Schluter-Kerdi-Drain.,,,Each,144,,205.71,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-38-in-x-60-in-Shower-Tray-KST965-1525/308315440,,,,,,,1.2,,,,
,Kerdi,Kerdi; Pans,22P4pdfG4CXZ,Material | Tile | Kerdi-Shower Kit | 48x48,"The Kerdi-Shower-Kit without the grate is a kit containing the components to create a watertight shower assembly. The prefabricated sloped shower tray with integrated Kerdi waterproofing eliminates the need for a mortar bed. Kit includes a shower tray, Kerdi-Board-SC shower curb, Kerdi waterproofing membrane, Kerdi-Band waterproofing strip, Kerdi-Kereck corners, Kerdi-Seal pipe seal and mixing valve seal and Kerdi-Drain flange. The Kerdi-Shower-Kit without the grate is designed for use with the Kerdi-Drain grate which is sold separate.",,,Each,580.07,,828.67,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-48-in-x-48-in-Shower-Kit-with-PVC-Flange-KSK1220PVC/308315441,,,,,,,1.2,,,,
,Kerdi,Kerdi; Pans,22P4pdfJeGWZ,Material | Tile | Kerdi-Shower Tray | 48x48,Kerdi-Shower-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,Each,134.43,,192.04,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-48-in-x-48-in-Shower-Tray-KST1220BF/308315438,,,,,,,1.2,,,,
,Kerdi,Kerdi; Pans,22P4pdfMQMVh,Material | Tile | Kerdi-Shower Tray Neo-Angle Sloped | 38x38,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,Each,133.15,,190.21,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-38-in-x-38-in-Neo-Angle-Sloped-Shower-Tray-KST965NA-BF/309468517,,,,,,,1.2,,,,
,Kerdi,Kerdi; Pans,22P4pdfPnZkE,Material | Tile | Kerdi-Shower Tray Sloped | 38x38,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,Each,118.93,,169.9,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-38-in-x-38-in-Sloped-Shower-Tray-KST965BF/309468531,,,,,,,1.2,,,,
,Kerdi,Kerdi; Pans,22P4pdfSMC8D,Material | Tile | Kerdi-Shower Tray Sloped | 48x60,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,Each,194.17,,277.39,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-48-in-x-60-in-Sloped-Shower-Tray-KST1220-1525/309468533,,,,,,,1.2,,,,
,Kerdi,Kerdi; Pans,22P4pdfUnxgA,Material | Tile | Kerdi-Shower Tray Sloped | 48x72,Kerdi-Shower-T/-TS/-TT is a prefabricated sloped shower tray with integrated Kerdi waterproofing. It is lightweight and made of expanded polystyrene. The shower tray eliminates the need for a mortar bed making installation quick and easy. The Kerdi-Shower-T/-TS/-TT is designed to integrate with the Schluter-Kerdi-Drain.,,,Each,228.74,,326.77,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,https://www.homedepot.com/p/Schluter-Kerdi-Shower-T-TS-TT-48-in-x-72-in-Sloped-Shower-Tray-KST1220-1830/309468535,,,,,,,1.2,,,,
