Cost Group Template ID,Cost Group Template Name,Cost Group Name,Cost Item ID,Cost Item Name,Description,Quantity,Quantity Formula,Unit,Unit Cost,Unit Cost Formula,Unit Price,Unit Price Formula,Cost Code,Cost Type,Taxable,Allowance Type,Allows Customer Write-In,Specification,Require Specification Approval,Selected,Minimum Selections,Maximum Selections,Show Child Costs,Show Child Deltas,Show Children,Show Description,Show Quantity,Custom Field: URL,Custom Field: Production Rate,Custom Field: Available Finishes,Custom Field: Labor Wage,Custom Field: Labor Burden,Custom Field: Category,Custom Field: Vendor,Custom Field: Waste,Custom Field: Formula Notes,Custom Field: Ordered Status,Custom Field: Dimensions,Custom Field: Specifications
,Dempsey Copy,Tilework; Shower Tile,22P4fhSpskeq,Labor | Tile | Niche Installation,,4,ceil({production rate}*{niches}),Hours,80,,114.29,,1800 Tiling,Labor,false,,false,false,true,false,,,,,,true,true,,2,,,,,,0.1,,,,
,Dempsey Copy,Tilework; Materials,,,,,,,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Tilework; Materials,22NmAGFUVFjw,Material | Tile | Schluter Banding - 16',,2,ceil({shower wall height (ft)}*4/16.5),Each,20.75,,29.63,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Tilework; Materials,22NmAGFPyTwY,"Material | Tile | HydroBan Board | 1/2"" 4x8",,4,ceil({shower wall tile (sq ft)}/32)+1,Each,98.99,,141.41,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Tilework; Materials,22Nt5m8xvvFJ,Material | Tile | Permacolor Grout,"2 Bags Sanded Base 10#
2 Tubes Silicone
1 Permacolor Color Kit",1,,Each,95,,135.71,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Tilework; Materials,22Nn3YrwpgBK,"Material | Tile | Schluter Aluminum Trim | 1/4""",,3,ceil({shower wall lineal ft}/8+1),Each,24,,33.6,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Tilework; Materials,22NmAGFaE2MA,Material | Tile | HydroBan Thinset Mortar - 50#,,3,ceil({shower wall tile (sq ft)}/50)+1,Each,28.5,,40.72,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Tilework; Materials,22NmAGFhLfrP,Material | Tile | Silicone,,2,,Each,22,,31.43,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Tilework; Materials,22NmAGFifsdt,Material | Tile | Grout Sealer,,1,,Each,20,,28.57,,1800 Tiling,Materials,false,,false,false,true,false,,,,,,true,true,,,,,,,,,,,,
,Dempsey Copy,Drywall,,,"Replace/ rehang new drywall from shower demo, tank-less toilet replace, HVAC install.",24,{bathroom wall repair (sq ft)},Square Feet,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
,Dempsey Copy,Drywall; Labor,,,,24,{parent quantity},Square Feet,,,,,,,,,,,,false,,,true,false,false,true,,,,,,,,,,,,,
